101;300;DistrictA;2024-10-29 12:05:00
102;450;DistrictA;2024-10-29 12:15:00
103;150;DistrictB;2024-10-29 12:20:00
104;500;DistrictA;2024-10-29 12:25:00
105;200;DistrictC;2024-10-29 12:30:00
106;600;DistrictA;2024-10-29 12:35:00
107;350;DistrictB;2024-10-29 12:40:00
108;400;DistrictA;2024-10-29 12:45:00
109;250;DistrictA;2024-10-29 12:50:00
110;700;DistrictC;2024-10-29 13:00:00
111;300;DistrictA;2024-10-29 13:10:00
112;450;DistrictB;2024-10-29 13:15:00
113;100;DistrictA;2024-10-29 13:20:00
114;150;DistrictC;2024-10-29 13:25:00
115;500;DistrictA;2024-10-29 13:30:00
116;200;DistrictA;2024-10-29 13:35:00
